age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
18,4.1,2.1,2.4,87.2,5.5,4,10,83.1,83.05
23,4.3,2.7,2.4,66.5,5.0,5,3,60.6,67.93
21,5.3,2.4,0.1,85.5,5.5,0,3,85.8,79.59
20,6.6,3.2,2.1,86.5,9.3,5,4,100.0,101.81
24,2.6,2.3,1.7,85.6,5.7,1,1,45.5,48.69
24,4.9,0.5,2.1,85.3,7.5,0,4,83.9,83.26
18,4.2,3.0,0.5,100.0,6.0,3,4,78.4,75.95
21,6.2,2.7,0.9,80.9,3.7,3,4,87.9,87.49
23,4.0,1.7,2.6,100.0,5.0,4,5,75.0,74.13
21,4.1,2.9,0.8,80.0,5.8,6,2,76.4,71.28
20,3.2,2.3,1.5,71.0,5.0,6,3,59.6,61.48
17,2.4,3.2,3.7,78.9,8.2,5,4,47.0,54.12
21,7.4,3.6,1.3,91.6,7.1,3,6,100.0,107.4
21,2.4,3.7,2.0,94.7,5.8,4,3,52.4,51.16
21,5.2,2.8,3.2,88.7,5.4,0,7,89.5,78.45
19,2.1,2.3,0.9,78.8,4.8,3,10,63.1,63.0
20,2.5,1.9,1.6,93.6,7.0,4,8,68.5,70.06
18,4.6,3.9,0.0,83.6,9.7,3,2,84.8,79.7
22,4.1,1.1,1.9,82.3,7.5,1,8,80.8,82.21
17,3.5,3.6,2.7,92.9,8.4,3,8,72.6,73.84
23,3.5,0.8,0.6,89.2,7.7,0,4,84.2,72.68
21,5.6,1.5,1.4,85.8,6.5,2,4,89.8,89.3
20,4.1,3.1,1.8,82.5,4.9,4,8,77.8,76.07
24,4.8,2.5,2.4,74.7,6.4,6,1,76.2,74.08
18,0.0,2.8,1.6,93.4,5.8,0,5,26.7,30.49
21,3.3,1.4,1.0,96.8,6.2,0,5,74.9,68.46
19,3.8,1.2,1.8,86.1,4.7,6,7,73.9,78.93
22,3.0,2.0,1.7,98.5,5.4,1,3,51.3,58.91
17,3.8,2.0,1.4,82.6,5.4,2,2,65.9,63.36
22,6.8,3.7,1.8,72.3,7.5,6,5,100.0,101.25
23,3.3,2.0,1.2,85.8,6.9,0,7,72.2,70.92
20,4.5,4.6,2.0,87.9,6.5,2,6,73.8,72.87
17,2.9,1.0,2.4,86.0,6.8,1,6,65.9,65.89
17,3.0,3.5,1.6,95.4,6.4,3,3,54.1,58.62
24,4.1,3.6,2.2,93.8,6.9,5,8,84.0,81.48
19,3.3,0.6,1.2,79.8,5.9,2,10,73.0,79.51
18,4.5,2.0,1.2,82.2,6.3,5,5,84.4,82.56
23,3.1,1.9,2.6,64.0,7.1,5,10,68.1,75.43
24,4.7,1.3,3.3,79.9,6.7,1,1,73.6,69.17
22,3.5,2.1,4.9,97.0,7.2,5,9,75.9,75.83
23,5.5,1.1,1.4,84.4,4.9,0,6,84.5,87.06
18,3.7,3.4,2.0,88.9,6.8,3,1,63.5,60.66
21,4.5,1.7,0.4,86.1,7.8,4,2,71.1,81.95
19,1.4,2.0,3.5,87.7,6.3,1,8,41.7,48.94
21,5.9,4.6,2.6,100.0,6.6,0,1,72.7,74.71
20,3.6,2.6,2.2,72.6,3.3,1,8,61.0,63.18
17,3.3,1.8,3.2,81.7,5.8,0,2,62.2,53.65
23,4.6,0.9,1.9,86.0,4.8,4,6,81.3,82.87
24,5.1,0.5,1.4,88.9,4.1,4,8,100.0,92.94
20,5.3,2.7,2.4,85.8,5.4,4,6,81.0,84.88
