age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
18,4.6,3.4,2.0,77.5,7.9,0,1,71.8,65.35
19,3.6,3.5,2.1,82.2,5.8,3,10,62.5,73.75
19,5.3,1.9,3.2,93.2,6.1,1,4,85.7,79.63
23,0.0,1.2,1.1,85.0,8.0,6,8,56.2,53.12
17,2.7,2.9,2.9,80.9,6.6,0,6,53.4,54.88
18,4.6,1.2,0.5,92.8,8.2,4,4,93.0,88.89
21,1.4,3.1,1.3,94.8,8.0,1,1,34.3,42.43
24,3.3,1.4,0.4,75.2,6.5,0,7,72.9,71.59
18,4.6,3.9,0.0,83.6,9.7,3,2,84.8,79.7
21,6.6,2.6,1.5,84.7,7.9,1,2,96.6,92.91
18,3.8,0.7,2.1,77.5,7.2,5,10,81.8,87.7
19,3.0,4.5,2.3,79.7,7.0,6,5,52.6,61.56
17,4.6,0.5,1.6,72.3,5.5,2,10,88.9,88.77
19,3.3,2.2,2.9,80.3,9.7,0,9,76.1,74.5
24,1.1,3.6,2.5,96.7,8.4,3,10,54.6,55.87
20,3.7,1.8,1.3,91.9,6.3,6,10,80.9,87.71
18,3.6,2.5,3.0,95.3,5.8,3,2,63.1,60.93
18,3.7,3.3,0.3,87.4,6.6,6,5,72.3,76.33
18,4.1,2.1,2.4,87.2,5.5,4,10,83.1,83.05
20,6.0,2.5,2.9,85.1,6.7,5,10,100.0,102.72
19,2.7,1.4,2.8,83.7,5.6,2,7,63.5,61.56
20,3.0,2.4,4.0,88.1,5.4,5,5,62.9,59.98
24,2.5,2.0,0.0,83.9,5.3,6,8,66.7,71.64
19,2.9,1.9,3.2,82.4,6.4,4,6,66.9,63.72
21,4.7,4.3,0.0,91.3,9.1,5,5,83.5,87.59
22,6.2,1.0,3.4,82.8,5.9,4,10,100.0,104.49
22,6.4,2.7,0.3,78.3,5.8,0,7,98.0,96.84
21,4.0,2.1,1.4,100.0,7.7,1,6,82.2,79.12
22,3.0,3.0,1.6,70.2,6.7,2,7,63.2,63.75
18,3.2,3.5,1.7,91.7,6.5,1,5,63.6,60.99
22,2.8,2.5,2.7,86.4,6.3,4,10,74.6,71.15
20,1.5,4.6,0.7,82.6,7.0,1,4,45.4,42.16
18,3.0,1.8,0.7,100.0,5.5,4,3,56.7,66.09
22,4.8,2.3,1.6,71.7,7.5,4,6,89.3,85.27
23,1.7,3.3,0.6,89.0,5.4,5,4,50.1,50.92
24,1.1,4.1,1.4,90.0,9.0,6,1,43.7,44.58
22,3.9,2.2,0.2,85.4,6.7,3,6,84.9,79.52
23,4.4,2.2,1.7,100.0,7.1,3,1,78.9,73.44
23,4.4,1.9,0.8,84.8,8.3,1,3,76.9,77.86
24,1.6,0.8,3.2,63.0,8.0,3,10,58.2,61.42
19,5.3,2.6,0.0,87.1,8.5,5,9,98.4,104.38
17,3.5,3.9,2.6,73.9,5.5,4,2,65.6,54.29
20,3.3,4.0,1.9,67.1,6.8,0,2,43.5,50.11
20,2.1,4.9,1.1,92.0,8.0,3,4,61.5,51.96
21,2.8,2.0,2.0,80.1,5.6,2,3,59.9,54.97
21,6.0,3.3,2.2,74.4,5.4,0,8,90.2,87.27
23,6.8,2.5,0.7,97.2,4.4,1,4,93.1,95.47
20,4.9,0.3,2.7,92.3,6.2,0,6,82.1,84.39
23,4.8,2.8,0.6,93.5,6.7,4,1,85.4,78.0
17,2.0,1.6,0.0,69.8,7.0,5,4,49.1,59.78
