age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
17,4.8,2.8,3.1,92.7,6.4,1,6,74.9,77.06
17,1.5,2.3,3.0,86.2,5.7,1,10,54.2,52.59
21,4.2,4.5,3.1,84.0,6.6,2,9,75.3,73.03
22,2.5,0.8,2.0,89.6,8.6,4,6,75.6,71.19
23,2.5,1.1,3.9,86.1,4.0,6,8,58.2,62.98
19,4.3,2.7,2.6,91.9,5.0,3,1,58.4,63.89
22,6.7,2.9,2.0,83.2,6.6,6,5,100.0,101.11
24,4.7,3.1,0.9,74.9,4.9,4,9,96.4,84.57
24,2.5,3.8,2.2,85.4,5.0,6,8,63.4,61.16
17,4.3,1.9,1.9,78.7,10.0,4,2,82.9,78.71
21,1.4,2.7,3.4,92.5,4.7,1,2,29.7,33.48
23,4.4,4.3,0.0,100.0,6.1,3,2,70.1,72.49
21,2.8,2.0,2.0,80.1,5.6,2,3,59.9,54.97
19,3.5,2.3,2.2,74.3,6.7,3,5,78.1,66.89
21,3.1,5.0,1.0,97.5,6.5,6,7,74.0,69.14
19,3.3,2.5,2.1,63.8,5.5,1,3,55.4,54.25
17,2.7,3.6,0.9,86.9,7.2,2,6,67.9,61.74
20,4.1,2.7,0.0,89.5,6.5,0,9,87.1,82.26
19,2.9,7.2,2.9,85.5,5.7,1,6,50.1,45.53
22,2.7,4.7,1.7,67.5,5.7,2,9,59.3,58.27
24,4.3,4.9,3.0,75.1,8.4,5,9,74.0,79.6
19,2.9,1.9,3.2,82.4,6.4,4,6,66.9,63.72
21,2.1,3.5,0.9,88.8,5.6,6,6,63.4,59.1
17,5.3,2.5,2.7,83.2,5.8,3,6,93.4,83.61
20,2.3,3.2,2.4,83.0,4.2,6,1,48.5,45.02
20,1.2,3.5,2.0,81.7,6.5,4,1,34.3,36.65
20,2.6,4.9,4.3,82.1,6.9,3,7,52.1,51.57
17,1.8,3.0,2.0,81.1,4.9,1,10,47.5,53.38
24,5.8,3.0,0.4,66.5,3.2,2,8,90.8,87.84
21,5.2,2.8,3.2,88.7,5.4,0,7,89.5,78.45
24,4.8,3.2,1.6,92.6,7.4,4,1,76.6,76.02
24,5.1,2.9,1.6,64.3,6.5,3,9,86.5,87.98
19,6.1,1.5,0.4,89.2,7.0,1,9,100.0,106.29
19,3.7,2.1,0.4,81.1,4.5,1,9,76.9,75.63
18,3.0,1.8,0.7,100.0,5.5,4,3,56.7,66.09
17,4.9,3.0,3.6,91.1,6.7,1,4,67.6,72.46
20,3.3,2.9,3.6,88.1,5.2,4,8,60.3,66.22
19,3.5,2.1,0.5,84.8,6.1,4,2,64.2,67.24
19,4.6,2.4,2.4,75.2,6.9,4,4,87.8,76.71
21,4.2,2.0,3.5,88.0,6.5,5,9,84.6,83.19
23,2.7,4.3,2.9,88.9,4.8,4,8,53.4,58.35
19,1.8,2.5,2.4,71.1,7.5,1,2,45.3,42.29
22,6.4,4.2,1.5,88.8,6.1,0,6,85.0,90.39
18,4.4,3.4,1.4,91.1,6.5,1,7,69.1,77.14
17,4.4,1.3,2.4,87.9,5.5,2,8,80.9,81.17
18,4.1,2.1,2.4,87.2,5.5,4,10,83.1,83.05
24,3.7,3.6,3.3,80.2,7.7,5,2,69.3,62.78
23,5.1,1.5,0.8,81.0,5.5,6,4,83.2,88.24
20,4.0,3.4,3.4,78.0,5.5,3,7,68.8,68.62
19,3.5,2.1,0.5,84.8,6.1,4,2,64.2,67.24
