age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
21,0.7,3.2,0.3,72.7,7.9,2,7,47.2,47.14
17,3.5,0.9,0.4,78.7,6.3,3,5,72.9,74.45
19,3.0,2.6,1.6,71.0,5.5,0,7,55.0,59.68
23,5.4,2.4,2.5,95.7,6.0,2,2,77.5,78.7
17,4.0,1.4,1.3,80.7,4.8,2,8,75.9,77.88
23,2.5,2.9,2.7,83.5,7.0,4,8,59.7,63.35
20,0.0,3.5,3.2,72.6,6.2,3,2,26.2,20.8
23,4.0,3.0,3.0,83.2,7.7,3,6,74.7,72.92
22,3.1,3.3,1.8,98.5,6.5,2,8,62.7,69.16
24,4.6,1.4,2.9,74.5,5.4,6,7,85.6,83.67
17,4.0,1.4,1.3,80.7,4.8,2,8,75.9,77.88
21,4.8,2.9,2.6,66.0,7.6,0,6,82.1,75.63
23,6.8,2.5,0.7,97.2,4.4,1,4,93.1,95.47
19,3.6,3.5,2.1,82.2,5.8,3,10,62.5,73.75
22,3.9,2.2,0.2,85.4,6.7,3,6,84.9,79.52
20,6.5,0.7,1.7,77.3,6.3,4,3,100.0,97.83
17,3.7,3.9,2.2,68.3,5.8,0,8,66.6,63.87
20,1.5,4.6,0.7,82.6,7.0,1,4,45.4,42.16
19,4.3,0.9,1.2,80.7,6.3,4,1,72.6,74.22
22,4.6,1.8,3.0,74.4,6.3,6,8,86.2,86.07
23,3.5,2.1,1.4,82.2,7.7,1,3,64.2,65.95
17,2.0,2.2,3.2,98.2,5.1,5,5,56.3,53.06
17,2.5,1.7,4.1,91.1,7.6,5,7,65.0,65.59
22,3.6,1.3,2.1,68.0,6.3,2,10,82.4,77.76
19,3.1,0.7,1.3,88.0,7.6,2,6,81.5,74.24
24,2.9,4.0,2.9,67.6,8.7,4,5,56.4,59.64
18,4.0,3.2,1.7,77.4,6.4,6,3,68.4,70.12
24,2.0,3.5,2.6,76.5,4.8,6,5,53.2,48.85
23,2.5,2.9,2.7,83.5,7.0,4,8,59.7,63.35
17,4.6,3.7,0.6,87.0,5.9,3,4,73.2,74.97
22,2.6,3.4,5.3,79.8,9.0,0,2,49.1,44.14
23,1.6,1.0,3.1,82.8,5.5,4,10,62.0,60.16
21,0.8,2.3,1.0,91.8,6.7,2,6,44.3,47.34
24,6.5,3.5,3.9,100.0,7.4,5,7,100.0,100.35
17,3.8,2.4,1.1,83.1,5.0,4,4,64.4,69.04
19,3.5,2.1,0.5,84.8,6.1,4,2,64.2,67.24
17,3.9,2.4,1.2,90.7,7.1,1,7,75.2,76.6
20,1.1,2.1,3.6,97.3,8.0,6,1,50.3,43.66
21,1.3,3.8,3.6,80.6,6.7,5,5,40.4,42.61
21,2.1,3.1,4.2,86.4,5.2,1,9,50.1,50.82
23,2.6,5.3,1.7,69.4,7.3,5,10,67.0,64.57
20,2.7,3.7,1.1,72.4,6.3,0,3,44.3,49.18
24,5.4,0.2,0.0,76.8,6.7,4,8,100.0,103.57
21,3.9,1.9,2.4,75.8,5.7,2,2,64.0,62.22
18,2.9,2.2,1.7,99.0,5.3,2,7,71.2,66.01
18,6.0,3.4,2.0,92.3,7.0,0,9,99.9,95.38
18,3.4,1.7,1.4,95.5,7.8,0,2,70.7,64.45
24,7.2,1.3,0.0,82.9,7.4,1,4,100.0,108.31
23,4.1,1.6,0.5,80.2,7.8,5,7,89.8,88.46
17,4.5,1.2,2.6,86.0,5.3,0,6,76.3,74.73
