age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
23,3.2,2.3,1.7,83.8,6.6,0,9,66.3,71.13
18,7.4,3.6,3.9,83.6,5.5,3,7,97.7,99.28
24,1.6,3.1,2.8,82.7,7.8,0,5,43.5,44.73
24,2.4,4.3,1.0,87.9,8.9,5,9,71.0,70.95
17,0.7,3.2,2.4,95.9,8.3,1,10,50.3,50.22
18,4.8,3.1,1.3,95.4,7.5,5,10,100.0,95.62
17,2.9,1.1,2.8,100.0,7.8,3,8,68.4,75.01
21,2.3,1.9,0.1,81.9,6.6,2,4,61.7,59.19
20,5.0,3.4,1.6,80.9,6.0,2,1,67.7,70.06
20,2.5,1.4,0.9,83.5,6.3,6,8,73.1,72.81
19,4.3,2.7,2.6,91.9,5.0,3,1,58.4,63.89
17,0.0,2.6,1.6,82.4,7.4,5,3,32.9,34.94
20,2.6,2.2,0.7,91.6,7.3,2,6,63.6,66.89
23,4.4,4.3,0.0,100.0,6.1,3,2,70.1,72.49
21,4.8,2.9,2.6,66.0,7.6,0,6,82.1,75.63
22,3.0,2.5,2.6,83.1,5.5,0,4,51.3,53.83
18,3.8,4.1,1.6,100.0,7.2,4,6,81.0,73.57
17,3.8,1.7,1.4,70.3,7.0,0,1,58.1,61.59
21,2.9,4.6,0.0,77.6,4.9,3,9,67.8,64.68
22,4.1,2.5,3.0,85.1,5.8,4,5,70.2,71.01
24,0.9,3.3,1.6,87.3,6.5,6,5,37.9,47.12
24,1.6,0.8,3.2,63.0,8.0,3,10,58.2,61.42
22,2.8,1.2,2.2,94.1,7.2,3,10,75.8,77.33
24,3.3,2.9,1.1,83.3,7.8,6,4,70.4,71.92
21,3.4,2.7,3.4,100.0,6.6,1,6,65.6,64.57
23,4.1,1.6,0.5,80.2,7.8,5,7,89.8,88.46
23,2.7,4.3,2.9,88.9,4.8,4,8,53.4,58.32
19,3.3,2.5,2.1,63.8,5.5,1,3,55.4,54.25
20,3.3,4.3,0.4,89.3,4.8,1,5,67.0,60.31
21,4.8,2.9,2.6,66.0,7.6,0,6,82.1,75.63
20,3.3,4.0,1.9,67.1,6.8,0,2,43.5,50.11
17,3.5,0.0,2.4,92.2,6.2,4,1,63.6,67.48
19,3.0,0.1,1.9,86.1,7.7,6,6,82.5,77.99
21,5.3,2.4,0.1,85.5,5.5,0,3,85.8,79.59
19,3.8,4.2,1.2,92.2,7.1,1,10,72.3,76.98
21,5.6,2.1,2.4,95.6,7.2,1,3,82.5,84.49
17,2.8,3.4,0.9,67.7,7.0,3,9,62.6,67.95
17,2.1,2.7,1.4,77.4,4.3,5,4,39.9,50.06
20,2.0,3.2,3.8,82.6,6.7,6,10,75.7,62.1
20,2.7,1.4,0.4,82.6,7.8,1,1,57.2,59.02
17,3.1,1.7,2.9,71.5,5.6,0,3,51.1,52.45
19,2.3,1.9,0.0,85.1,7.5,6,7,77.4,72.97
20,3.6,1.1,0.3,83.5,6.2,4,4,77.2,75.53
23,2.9,2.3,2.3,86.2,7.2,6,1,66.0,59.74
20,5.6,2.4,2.3,94.7,7.0,6,10,100.0,103.56
23,3.5,3.0,1.5,79.1,5.5,0,9,67.4,69.09
18,6.0,1.6,1.3,89.7,5.5,6,7,100.0,102.42
24,2.5,3.8,2.2,85.4,5.0,6,8,63.4,61.16
23,5.0,4.5,2.3,87.2,7.7,6,8,98.0,88.53
19,4.3,0.9,1.2,80.7,6.3,4,1,72.6,74.22
