age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
20,2.4,2.6,1.0,77.0,6.0,2,3,48.3,51.59
17,5.1,3.1,3.7,94.6,6.4,1,7,85.2,79.98
21,5.6,2.1,2.4,95.6,7.2,1,3,82.5,84.49
20,5.7,2.1,2.4,85.8,5.6,3,4,83.8,85.33
17,3.4,0.1,0.6,77.7,7.9,1,4,77.1,73.57
24,3.5,1.9,1.2,95.3,6.5,6,10,92.6,87.07
19,3.8,2.0,1.5,80.8,5.1,0,1,55.7,58.53
21,6.7,2.2,2.6,84.5,6.7,3,5,97.1,97.92
19,3.2,1.2,1.2,78.6,6.6,2,10,81.7,78.1
24,4.1,3.8,1.9,84.5,7.6,1,10,73.0,80.42
19,4.2,5.6,0.4,91.1,9.8,0,5,78.7,73.76
20,5.6,2.0,0.0,77.5,7.1,4,7,100.0,99.34
17,2.0,3.8,0.3,78.4,7.6,6,5,58.5,59.31
17,1.7,2.0,2.4,79.4,6.5,5,8,45.7,58.49
22,2.5,3.2,0.5,85.7,6.5,0,5,59.7,56.67
24,1.6,0.8,3.2,63.0,8.0,3,10,58.2,61.42
20,5.0,2.9,2.6,96.2,6.7,6,5,80.6,86.11
20,1.8,1.8,1.1,92.4,6.7,0,2,48.7,47.0
24,5.5,2.5,1.0,83.2,6.8,0,1,80.6,77.97
24,4.3,0.9,3.2,62.8,7.1,0,2,65.7,65.84
22,2.4,0.9,0.8,92.5,8.3,2,9,78.3,75.9
21,2.8,2.0,2.0,80.1,5.6,2,3,59.9,54.93
21,2.3,1.9,0.1,81.9,6.6,2,4,61.7,59.19
23,3.5,2.3,2.1,84.3,7.6,5,10,89.1,82.64
23,3.1,1.9,2.6,64.0,7.1,5,10,68.1,75.43
19,3.0,4.5,2.3,79.7,7.0,6,5,52.6,61.56
22,2.8,2.5,2.7,86.4,6.3,4,10,74.6,71.15
19,4.3,0.9,1.2,80.7,6.3,4,1,72.6,74.22
23,4.0,3.0,3.0,83.2,7.7,3,6,74.7,72.92
23,2.6,5.3,1.7,69.4,7.3,5,10,67.0,64.57
20,3.0,3.0,1.7,79.0,7.4,4,8,69.8,70.89
20,5.0,1.5,2.2,56.7,5.5,2,4,83.6,75.61
21,4.3,2.2,2.3,71.8,7.6,2,5,76.0,74.54
20,3.0,2.4,4.0,88.1,5.4,5,5,62.9,59.98
22,3.9,2.1,2.2,65.0,5.1,2,9,73.7,73.07
24,2.4,2.9,0.5,71.5,6.8,5,2,50.4,55.3
21,1.7,1.6,1.7,61.0,6.7,5,8,67.9,59.22
19,2.9,7.2,2.9,85.5,5.7,1,6,50.1,45.53
23,3.5,3.9,2.2,89.3,6.3,2,5,66.8,62.73
19,3.1,1.1,4.1,65.4,5.6,3,10,58.4,67.62
20,5.3,3.2,0.0,75.2,4.4,5,3,77.2,80.59
19,3.3,0.7,3.6,75.5,6.1,3,3,52.6,61.2
19,2.2,3.5,1.8,100.0,3.3,6,8,67.6,58.54
19,5.3,2.6,0.0,87.1,8.5,5,9,98.4,104.38
22,3.8,1.8,0.7,97.5,8.2,5,2,84.2,77.9
17,4.3,2.5,0.0,64.1,3.9,0,2,59.4,62.17
17,2.3,1.5,3.2,83.1,8.2,1,3,52.4,52.59
24,4.5,4.4,2.2,85.1,6.5,4,1,64.0,65.6
21,4.1,2.9,0.8,80.0,5.8,6,2,76.4,71.28
19,4.6,2.0,3.6,81.1,6.8,5,4,83.0,77.25
