age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
23,4.4,1.9,0.8,84.8,8.3,1,3,76.9,77.86
19,2.7,1.8,0.0,72.5,6.5,4,7,68.2,70.47
20,5.5,3.6,0.0,81.5,4.9,1,5,80.3,82.4
22,3.2,4.0,2.7,74.5,8.0,6,6,61.8,66.39
21,3.7,0.6,1.3,75.6,7.5,2,5,70.6,76.12
22,1.2,1.1,1.9,69.9,4.8,4,7,58.6,50.4
20,3.0,2.3,0.0,66.0,7.5,2,9,77.9,73.68
24,5.8,3.0,0.4,66.5,3.2,2,8,90.8,87.84
20,3.2,3.2,5.0,100.0,6.7,5,2,57.6,55.52
18,4.6,3.9,0.0,83.6,9.7,3,2,84.8,79.7
24,3.3,2.9,1.1,83.3,7.8,6,4,70.4,71.92
19,3.1,0.7,1.3,88.0,7.6,2,6,81.5,74.24
19,2.1,2.8,1.4,82.8,6.3,1,3,44.1,48.71
23,1.4,3.3,2.5,91.9,8.3,3,4,46.5,47.43
21,0.8,2.3,1.0,91.8,6.7,2,6,44.3,47.34
21,2.6,5.4,3.3,87.2,8.0,1,9,59.8,56.93
19,4.6,2.0,3.6,81.1,6.8,5,4,83.0,77.25
20,3.3,3.6,2.6,100.0,6.2,2,2,57.1,56.09
22,2.2,1.0,2.9,93.4,6.9,6,6,63.7,65.2
20,2.0,3.2,3.8,82.6,6.7,6,10,75.7,62.1
23,5.6,4.6,1.1,85.4,5.4,5,6,89.7,86.67
21,2.3,1.9,0.1,81.9,6.6,2,4,61.7,59.19
23,2.0,4.4,1.8,92.5,9.5,4,4,51.5,55.3
23,2.3,0.4,2.0,81.3,5.9,6,1,70.3,56.57
21,4.3,3.2,2.8,83.3,4.3,2,6,67.5,68.39
22,3.8,2.3,2.9,83.0,6.4,3,1,58.5,60.8
21,3.9,1.8,2.1,74.0,6.5,2,2,64.4,65.15
22,2.8,0.2,3.1,79.3,6.5,5,2,65.6,60.77
19,3.5,2.8,0.0,92.0,3.8,5,5,58.7,70.0
19,4.2,5.6,0.4,91.1,9.8,0,5,78.7,73.76
18,4.6,0.6,2.1,90.0,4.5,1,8,85.9,83.5
22,3.0,3.7,0.9,67.3,5.9,5,10,73.9,71.67
21,3.9,1.8,2.1,74.0,6.5,2,2,64.4,65.15
20,2.8,1.8,2.7,79.1,9.0,4,1,64.9,59.43
23,4.4,1.9,0.8,84.8,8.3,1,3,76.9,77.86
22,3.1,4.7,0.4,79.5,6.2,4,9,71.5,69.46
24,4.3,2.3,1.2,68.3,6.1,5,5,77.4,78.08
21,1.7,0.2,0.8,83.5,7.0,1,8,56.4,64.01
18,2.4,1.5,1.4,79.7,4.9,1,3,45.8,51.52
18,5.1,2.6,0.9,96.0,7.0,0,10,96.6,93.87
18,2.4,1.5,1.4,79.7,4.9,1,3,45.8,51.52
20,2.3,2.3,1.6,76.9,8.7,0,9,68.9,65.34
19,3.8,2.0,1.5,80.8,5.1,0,1,55.7,58.53
24,5.3,2.9,1.9,100.0,5.2,3,5,80.9,83.78
22,2.7,4.7,1.7,67.5,5.7,2,9,59.3,58.27
17,3.5,3.2,0.0,82.7,5.0,4,3,60.4,64.24
19,3.5,3.2,2.4,85.8,8.0,2,9,75.5,74.98
17,3.2,3.2,0.8,98.6,7.3,0,6,70.4,67.02
22,1.7,2.9,2.0,97.5,6.0,0,6,50.2,48.26
22,2.6,3.4,5.3,79.8,9.0,0,2,49.1,44.14
