age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
19,3.2,0.7,3.5,74.3,7.1,5,5,68.3,68.3
18,3.3,2.4,1.2,67.5,4.1,4,8,72.5,67.84
23,3.5,1.3,0.5,89.8,7.8,2,7,81.9,80.69
17,2.8,1.4,2.8,77.3,8.3,5,7,73.0,71.81
17,2.0,2.2,3.2,98.2,5.1,5,5,56.3,53.06
20,2.6,1.6,1.3,87.4,5.2,6,10,72.9,75.2
24,4.9,2.6,0.2,100.0,6.0,1,3,89.3,79.69
23,4.4,4.3,0.0,100.0,6.1,3,2,70.1,72.49
17,1.2,1.3,2.0,85.2,4.3,6,4,49.4,46.74
20,3.3,2.2,0.9,76.7,8.7,5,10,94.0,84.85
19,3.0,0.1,1.9,86.1,7.7,6,6,82.5,77.99
24,2.4,2.8,0.9,79.6,4.0,4,3,54.7,50.73
22,3.8,0.9,2.0,79.9,6.2,1,10,79.7,81.39
23,3.5,1.3,0.5,89.8,7.8,2,7,81.9,80.69
18,3.6,3.0,1.9,78.1,4.5,6,6,74.0,68.36
19,5.3,2.2,1.7,92.0,5.2,2,5,93.1,83.61
20,6.0,1.6,1.3,92.5,8.1,5,9,100.0,110.64
19,3.9,0.7,0.7,88.6,5.7,1,1,73.0,68.83
23,3.2,4.5,0.7,95.1,5.9,2,1,45.7,54.06
20,5.3,4.2,1.1,79.9,5.1,2,9,83.3,85.72
19,2.8,1.4,3.1,100.0,5.4,4,6,63.7,65.0
22,3.1,3.3,1.8,98.5,6.5,2,8,62.7,69.16
20,1.8,3.1,3.1,72.8,5.3,3,8,54.0,49.01
24,5.4,0.2,0.0,76.8,6.7,4,8,100.0,103.57
24,2.4,2.6,1.5,86.5,5.7,3,4,58.9,54.86
21,4.8,1.5,2.2,87.9,5.9,4,2,78.4,77.39
24,4.0,3.3,5.4,81.2,7.6,6,6,79.0,70.66
23,5.6,1.6,0.3,86.5,6.0,5,6,100.0,98.38
22,4.8,2.3,1.6,71.7,7.5,4,6,89.3,85.27
18,4.1,1.9,0.2,84.0,4.0,6,2,72.4,72.34
20,6.3,3.0,3.9,73.1,6.9,2,5,85.3,87.14
21,6.6,2.2,2.7,73.0,6.4,2,8,100.0,99.08
22,5.6,2.2,1.6,65.2,8.3,0,7,84.6,90.41
20,2.4,2.6,1.0,77.0,6.0,2,3,48.3,51.62
19,4.9,1.5,3.4,71.4,6.9,6,7,88.2,86.85
19,1.8,2.5,2.4,71.1,7.5,1,2,45.3,42.29
22,2.1,1.9,2.7,70.9,6.9,3,6,62.5,55.42
21,1.4,2.7,3.4,92.5,4.7,1,2,29.7,33.48
23,1.8,1.1,0.3,85.5,6.4,2,6,49.8,59.86
17,4.2,2.0,0.4,88.6,5.4,2,8,93.9,82.27
17,3.9,1.9,0.2,82.4,8.4,4,9,93.5,89.92
19,3.7,4.7,2.0,98.8,8.5,6,2,69.7,67.6
22,2.4,0.9,0.8,92.5,8.3,2,9,78.3,75.9
24,4.1,3.3,0.6,78.7,5.1,2,1,62.7,62.24
24,1.6,3.1,2.8,82.7,7.8,0,5,43.5,44.73
17,5.3,5.0,1.8,84.9,4.8,2,8,79.6,80.17
20,4.2,4.5,2.1,85.7,5.6,2,5,70.6,66.31
22,3.3,3.0,1.0,90.0,8.5,5,4,73.0,72.32
22,4.1,2.4,0.8,72.7,5.8,3,3,66.7,69.75
17,3.5,3.9,2.6,73.9,5.5,4,2,65.6,54.29
