age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
22,1.9,4.0,0.5,82.9,7.6,2,9,50.4,60.62
24,4.2,3.0,2.1,73.0,6.5,4,2,64.2,67.49
24,5.6,1.4,3.1,85.8,6.1,0,10,91.3,93.42
18,5.9,1.3,1.7,80.6,6.2,5,1,87.1,88.05
19,4.6,2.4,2.4,75.2,6.9,4,4,87.8,76.71
22,6.4,2.7,0.3,78.3,5.8,0,7,98.0,96.84
19,2.9,1.9,3.2,82.4,6.4,4,6,66.9,63.72
19,3.1,0.7,1.3,88.0,7.6,2,6,81.5,74.24
22,3.8,3.6,4.3,100.0,7.3,1,7,69.9,68.01
18,2.9,2.2,1.7,99.0,5.3,2,7,71.2,66.01
17,4.4,1.3,2.4,87.9,5.5,2,8,80.9,81.17
21,5.3,2.4,0.1,85.5,5.5,0,3,85.8,79.59
19,3.1,2.1,3.0,93.3,8.4,4,8,85.6,74.78
24,2.3,3.0,4.6,67.5,6.6,3,9,51.8,54.91
18,3.5,3.1,0.0,89.6,6.6,3,5,75.5,71.51
19,2.7,1.1,3.1,77.6,4.7,5,2,50.8,53.73
22,2.6,3.4,5.3,79.8,9.0,0,2,49.1,44.14
17,7.3,1.7,1.6,79.5,7.7,6,2,100.0,106.67
17,3.4,1.2,2.1,88.8,5.3,4,4,68.3,67.96
24,2.3,1.1,1.8,79.4,6.6,3,6,66.8,62.75
18,2.7,2.1,1.9,88.9,8.7,4,5,64.5,67.6
20,4.9,0.3,2.7,92.3,6.2,0,6,82.1,84.39
20,6.9,2.8,2.3,97.3,4.6,6,8,100.0,106.43
18,0.0,2.8,1.6,93.4,5.8,0,5,26.7,30.49
17,3.2,0.2,0.9,100.0,6.9,4,5,76.1,77.93
22,2.0,0.8,0.5,83.8,6.5,4,4,73.5,60.89
20,3.6,2.6,2.2,72.6,3.3,1,8,61.0,63.18
20,3.6,3.6,0.9,72.7,5.9,2,10,72.9,74.22
21,5.9,4.6,2.6,100.0,6.6,0,1,72.7,74.71
20,2.4,2.6,1.0,77.0,6.0,2,3,48.3,51.62
20,3.7,3.1,3.4,83.7,5.5,1,5,59.8,60.47
17,4.4,2.4,1.7,78.5,5.9,0,5,76.8,71.37
19,2.6,3.3,2.4,74.5,7.1,0,3,44.5,47.93
17,2.7,2.9,2.9,80.9,6.6,0,6,53.4,54.88
21,1.4,2.7,3.4,92.5,4.7,1,2,29.7,33.48
22,3.0,2.0,1.7,98.5,5.4,1,3,51.3,58.91
17,0.7,3.2,2.4,95.9,8.3,1,10,50.3,50.22
23,5.6,4.6,1.1,85.4,5.4,5,6,89.7,86.7
23,2.5,0.2,0.9,89.5,7.5,3,6,80.0,71.76
19,4.9,1.5,3.4,71.4,6.9,6,7,88.2,86.85
18,2.7,3.7,2.3,86.7,7.0,5,4,63.9,58.28
24,4.4,1.4,2.2,94.6,5.5,3,2,63.6,72.37
17,1.9,4.0,3.0,98.6,6.2,0,7,35.7,47.74
24,3.6,0.0,3.6,66.3,9.6,3,2,66.2,69.83
17,4.7,1.8,1.6,95.8,5.1,2,10,81.1,88.99
22,6.4,2.7,0.3,78.3,5.8,0,7,98.0,96.84
21,1.0,2.1,1.0,79.4,8.7,1,8,52.6,54.3
19,5.3,2.6,0.0,87.1,8.5,5,9,98.4,104.38
19,4.3,2.9,1.9,89.4,7.1,2,8,74.9,80.83
20,4.4,2.9,1.4,92.8,6.6,6,4,77.9,80.04
