age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
24,3.7,3.6,3.3,80.2,7.7,5,2,69.3,62.78
18,6.1,3.5,0.3,69.8,5.7,3,9,100.0,97.86
17,5.8,3.5,1.9,88.7,8.8,1,8,90.0,95.39
23,8.2,2.2,1.5,83.1,5.7,2,5,100.0,111.85
22,2.9,2.7,2.6,86.8,4.7,3,1,45.5,49.81
18,5.9,1.3,1.7,80.6,6.2,5,1,87.1,88.05
19,0.8,3.2,1.4,84.9,8.3,1,6,45.1,44.33
18,5.5,2.0,0.0,90.1,6.2,5,1,93.7,87.73
24,4.1,5.4,0.9,81.8,7.0,3,8,73.2,75.11
24,4.0,3.3,5.4,81.2,7.6,6,6,79.0,70.66
18,4.3,4.0,0.8,100.0,7.5,0,1,60.8,66.64
24,4.5,4.4,2.2,85.1,6.5,4,1,64.0,65.6
17,4.0,1.4,1.3,80.7,4.8,2,8,75.9,77.84
20,5.3,1.8,2.0,83.8,8.4,1,5,91.5,87.64
22,3.2,2.0,1.6,78.2,5.6,2,7,60.5,67.17
18,3.2,2.3,1.5,59.5,6.5,2,7,64.2,65.25
22,3.9,2.1,2.2,65.0,5.1,2,9,73.7,73.07
22,3.1,3.3,1.8,98.5,6.5,2,8,62.7,69.16
23,2.2,0.9,3.1,76.8,6.0,6,7,64.1,63.33
21,3.9,1.8,2.1,74.0,6.5,2,2,64.4,65.15
20,3.0,2.6,1.3,61.9,6.5,5,9,64.4,71.1
21,3.0,2.2,2.3,76.5,6.1,2,3,49.1,56.55
21,1.7,1.6,1.7,61.0,6.7,5,8,67.9,59.22
17,3.0,0.0,0.6,99.5,7.8,4,10,98.7,89.23
24,5.0,2.6,3.1,94.8,4.7,0,5,79.6,73.88
18,3.5,1.8,1.9,85.8,6.6,0,9,85.0,74.15
19,1.9,0.7,0.0,81.7,5.8,1,4,51.5,55.59
23,4.3,2.7,2.4,66.5,5.0,5,3,60.6,67.93
20,2.7,3.7,1.1,72.4,6.3,0,3,44.3,49.18
20,3.2,1.7,2.1,96.3,6.9,1,4,66.3,64.93
18,3.4,3.1,1.4,100.0,6.8,4,5,75.2,71.07
18,3.5,3.1,0.0,89.6,6.6,3,5,75.5,71.51
20,3.8,2.1,1.0,89.0,5.2,1,7,70.9,73.08
24,5.3,3.8,1.7,79.0,7.1,6,8,96.3,92.5
19,6.3,1.5,0.0,83.3,7.3,5,2,100.0,99.5
24,2.3,1.1,1.8,79.4,6.6,3,6,66.8,62.75
20,5.4,2.8,3.8,91.8,6.9,2,8,87.2,87.0
19,2.9,3.0,3.1,70.9,5.4,5,3,59.0,52.46
18,4.4,2.9,1.3,80.7,7.2,5,10,91.3,90.03
18,1.3,2.1,1.2,84.7,8.1,5,2,46.6,49.84
20,3.3,2.1,2.1,99.4,4.4,6,3,71.4,64.63
22,2.8,2.5,2.7,86.4,6.3,4,10,74.6,71.15
20,3.8,3.0,3.4,76.4,7.8,1,2,61.5,59.19
24,4.1,5.4,0.9,81.8,7.0,3,8,73.2,75.11
18,2.3,2.3,1.7,88.3,6.2,4,4,58.5,56.53
24,0.9,3.3,1.6,87.3,6.5,6,5,37.9,47.12
19,2.5,2.8,0.5,85.1,6.5,0,6,60.6,59.79
17,4.5,1.4,1.5,75.0,8.0,2,2,83.7,75.31
19,4.7,4.7,2.3,90.1,4.6,1,6,69.7,68.64
18,4.3,3.3,0.0,100.0,6.8,6,9,94.9,92.49
