age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
23,3.0,2.9,1.0,71.0,9.2,4,1,26.8,61.61
23,4.2,0.6000000000000001,2.0,85.3,6.5,5,4,65.6,80.59
24,5.2,2.0,3.2,83.0,6.3,3,8,57.5,88.39
20,4.8,0.8,2.7,79.1,9.0,4,1,64.9,81.19
20,7.0,0.5,2.2,56.7,5.5,2,4,83.6,97.37
24,5.7,2.6,1.7,97.6,5.7,0,10,77.4,95.13
24,2.8,0.3999999999999999,3.8,76.5,7.5,2,10,36.0,72.34
22,4.4,3.0999999999999996,0.0,80.5,6.1,1,3,47.9,71.62
22,5.8,2.6,4.3,100.0,7.3,1,7,69.9,89.77
18,7.1,1.6,0.9,96.0,7.0,0,10,96.6,115.63
22,5.6,0.30000000000000004,2.1,68.0,6.3,2,10,82.4,99.53
24,5.4,2.0,0.1,77.3,6.8,5,7,83.8,98.19
23,5.2,2.8,2.3,100.0,5.1,3,9,76.1,90.21
20,2.9,3.3,4.1,90.1,6.1,6,4,27.6,56.92
18,5.5,0.8,1.9,85.8,6.6,0,9,85.0,95.91
21,6.5,1.7000000000000002,1.2,85.8,5.4,2,1,62.9,89.33
21,4.8,1.0,2.0,80.1,5.6,2,3,59.9,76.69
23,6.0,2.0,3.0,83.2,7.7,3,6,74.7,94.68
19,4.5,1.7000000000000002,1.5,82.9,6.0,3,3,56.1,75.99
20,7.4,1.7999999999999998,3.8,91.8,6.9,2,8,87.2,108.76
23,8.2,1.7999999999999998,1.0,84.9,7.0,5,4,100.0,118.81
20,3.6,0.8,0.0,98.8,6.4,3,5,58.6,79.57
21,5.8,0.0,2.5,78.2,6.5,6,4,78.1,96.73
19,4.6,2.1,0.3,84.6,7.1,6,5,77.5,88.03
22,8.4,1.7000000000000002,0.3,78.3,5.8,0,7,98.0,118.6
21,4.6,4.4,3.3,87.2,8.0,1,9,59.8,78.69
19,6.4,0.0,1.4,81.2,5.4,1,10,80.7,107.79
20,7.0,1.9,2.6,96.2,6.7,6,5,80.6,107.87
18,6.6,0.0,2.1,90.0,4.5,1,8,85.9,104.18
20,5.2,2.2,5.0,100.0,6.7,5,2,57.6,77.28
18,5.4,0.7,1.4,95.5,7.8,0,2,70.7,86.21
19,5.0,0.0,1.9,86.1,7.7,6,6,82.5,97.32
23,7.5,1.7000000000000002,3.2,91.9,7.3,6,1,82.6,104.67
23,2.3,2.1,1.4,77.5,8.3,3,5,36.1,61.66
22,5.8,0.8,0.7,97.5,8.2,5,2,84.2,99.66
20,7.2,2.2,4.2,78.9,6.1,0,10,83.3,103.97
23,6.0,2.0,3.0,83.2,7.7,3,6,74.7,94.68
22,4.9,1.7000000000000002,2.6,86.8,4.7,3,1,45.5,71.57
23,7.4,2.1,3.1,79.0,4.2,1,4,77.9,93.81
17,6.3,0.5,0.0,88.9,4.6,6,4,84.2,103.7
17,8.4,2.7,2.0,64.1,5.1,6,4,98.8,110.06
18,9.4,0.6000000000000001,1.2,94.6,5.7,5,10,100.0,143.08
23,5.3,0.8999999999999999,2.2,79.1,6.2,4,7,70.9,92.98
24,4.5,1.6,1.4,100.0,6.2,0,6,52.5,81.65
21,9.4,2.6,1.3,91.6,7.1,3,6,100.0,129.16
17,7.7,1.7000000000000002,1.4,79.0,7.7,0,8,89.8,114.44
20,7.1,1.6,1.8,83.4,6.5,6,10,100.0,118.7
23,8.2,1.7999999999999998,1.0,84.9,7.0,5,4,100.0,118.81
18,5.7,2.3,0.3,87.4,6.6,6,5,72.3,98.09
19,5.3,0.0,1.2,79.8,5.9,2,10,73.0,100.19
