age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,prediction
23,0.0,1.2,1.1,85.0,8.0,6,8,56.2,53.12
20,6.9,2.8,2.3,97.3,4.6,6,8,100.0,106.43
21,1.4,3.1,1.3,94.8,8.0,1,1,34.3,42.43
23,1.0,3.9,1.0,71.0,9.2,4,1,26.8,39.85
19,5.0,4.4,0.5,90.9,4.9,3,1,66.4,70.45
24,7.2,1.3,0.0,82.9,7.4,1,4,100.0,108.31
21,5.6,1.5,1.4,85.8,6.5,2,4,89.8,89.3
21,4.3,1.0,2.0,77.7,4.6,0,8,72.6,77.28
23,4.4,2.2,1.7,100.0,7.1,3,1,78.9,73.44
18,4.8,3.1,1.3,95.4,7.5,5,10,100.0,95.62
19,4.6,3.7,0.8,77.6,5.8,1,3,63.3,68.89
23,3.9,2.4,2.5,71.7,7.9,2,1,74.4,62.84
19,3.7,2.1,0.4,81.1,4.5,1,9,76.9,75.63
19,3.4,2.7,2.7,89.3,4.7,4,10,75.8,72.91
24,2.4,1.5,0.7,87.4,6.7,6,9,78.9,76.29
21,3.1,5.0,1.0,97.5,6.5,6,7,74.0,69.14
20,1.0,0.6,0.2,92.9,5.6,3,8,55.2,58.95
24,3.4,2.7,1.2,94.7,7.5,0,1,70.8,60.41
24,2.0,4.9,2.9,88.3,7.1,2,5,43.9,45.74
19,1.8,2.5,2.4,71.1,7.5,1,2,45.3,42.29
22,3.8,2.3,2.9,83.0,6.4,3,1,58.5,60.8
21,5.6,2.1,2.4,95.6,7.2,1,3,82.5,84.49
18,4.9,2.3,0.6,84.5,6.0,3,7,98.7,87.93
24,1.1,4.1,1.4,90.0,9.0,6,1,43.7,44.58
20,2.0,0.0,0.9,81.8,5.5,4,2,54.9,56.48
22,4.9,4.3,3.3,74.7,9.0,1,2,69.9,68.39
22,2.0,0.8,0.5,83.8,6.5,4,4,73.5,60.89
18,3.2,2.2,2.8,88.1,4.8,5,3,71.1,60.22
24,4.3,2.0,2.8,78.4,8.1,5,3,82.8,76.3
20,2.0,3.2,3.8,82.6,6.7,6,10,75.7,62.1
21,3.7,0.6,1.3,75.6,7.5,2,5,70.6,76.12
17,1.5,3.1,2.6,96.2,8.0,4,3,51.3,48.12
20,2.6,4.9,4.3,82.1,6.9,3,7,52.1,51.57
18,4.0,0.9,1.1,99.5,5.8,2,5,70.7,78.81
